Tribe Full Name,Tribe,Tribe Alternate Name,Tribal Component,Salutation,First Name,Middle Name,Last Name,Suffix,aka,Job Title,Organization,BIA Region,BIA Agency,Address 1,Address 2,City,State,StateName,ZIPCode,Alaska,Phone,Fax,E-mail,Web Site,FEDEX Address 1,FEDEX Address 2,FEDEX City,FEDEX State,FEDEX ZipCode,Date Elected,Next Election,Directory,Notes,ANCSA Region,BLM Region,BOR Region,FWS Region,LCC,NPS Region,USGS Region,Latitude,Longitude,Modified
Lone Pine Paiute-Shoshone Tribe,Lone Pine,Lone Pine Rancheria,Tribe,,Mary,,Weuster,,,Chairperson,,Pacific,Central California Agency,P.O. Box 747,,Lone Pine,CA,California,93545,No,(760) 876-1034,(760) 876-8302,administrator@lpsr.org,http://www.lppsr.org,1103 South Main Street,,Lone Pine,CA,93545,,,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,36.6060444,-118.0628654,2/23/2017 14:02
"Los Coyotes Band of Cahuilla & Cupeno Indians, California",Los Coyotes,Los Coyotes Band of the Cahuilla & Cupeno Indians of the Los Coyotes Reservation,Tribe,,Shane,,Chapparosa,,,Spokesperson,,Pacific,Southern California Agency,P.O. Box 189,,Warner Springs,CA,California,92086,No,(760) 782-0711,(760) 782-2701,loscoyotes@ymail.com,,2300 Camino San Ignacio Road,,Warner Springs,CA,92086,,,Tribal,Contact Tribe for election information.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.2769753,-116.6494394,2/23/2017 14:02
"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",Lovelock,,Tribe,,Victor,,Mann,,,Chairman,,Western,Western Nevada Agency,P.O. Box 878,,Lovelock,NV,Nevada,89419,No,(775) 273-7861,(775) 273-3802,,,,,,,,,,Tribal,,,Nevada,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,40.2420059,-118.1590786,2/23/2017 14:03
"Lower Brule Sioux Tribe of the Lower Brule Reservation, SD",Lower Brule,,Tribe,,Boyd,,Gourneau,,,Chairman,,Great Plains,Lower Brule Agency,187 Oyate Circle,,Lower Brule,SD,South Dakota,57548,No,(605) 473-5561,(605) 473-5606,Chairman@lbst.org,http://www.lbst.org,SAME,,,,,9/2/2014,9/6/2016,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,44.0510521,-99.6118667,2/23/2017 14:02
Lower Elwha Tribal Community,Lower Elwha,,Tribe,,Frances,G.,Charles,,,Chairwoman,,Northwest,Olympic Peninsula Agency,2851 Lower Elwha Road,,Port Angeles,WA,Washington,98363,No,(360) 452-8471,(360) 452-3428,fgcharles@elwha.org,,SAME,,,,,5/3/2014,5/26/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.1440352,-123.5486715,8/17/2017 13:37
Lower Sioux Indian Community in the State of Minnesota,Lower Sioux,,Tribe,,Brian,,Pendleton,,,President,,Midwest,Midwest Regional Office,P.O. Box 308,,Morton,MN,Minnesota,56270,No,(507) 697-6185,(507) 697-8617,Brian.Pendleton@lowersioux.com,http://www.lowersioux.com,39527 Reservation Highway 1,,Morton,MN,56270,8/15/2017,8/1/2019,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,44.5514993,-94.9843725,8/30/2017 15:30
Lummi Tribe of the Lummi Reservation,Lummi,,Tribe,,Jeremiah,Jay,Johnson,,,Chairman,,Northwest,Puget Sound Agency,2665 Kwina Road,,Bellingham,WA,Washington,98226-9221,No,(360) 312-2000,(360) 380-6979,,http://www.lummi-nsn.org,SAME,,,,,11/4/2017,11/3/2018,Tribal,Next election date varies and is approximate.,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.7920179,-122.6261531,11/13/2017 16:29
Lytton Rancheria of California,Lytton,Lytton Rancheria,Tribe,,Marjorie,,Mejia,,,Chairperson,,Pacific,Central California Agency,437 Aviation Boulevard,,Santa Rosa,CA,California,95403,No,(707) 575-5917,(707) 575-6974,,,SAME,,,,,,,Tribal,Contact tribe for election information.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.5155226,-122.7873196,2/23/2017 14:02
Makah Indian Tribe of the Makah Indian Reservation,Makah,,Tribe,,Nathan,,Tyler,,,Chairman,,Northwest,Northwest Regional Office,P.O. Box 115,,Neah Bay,WA,Washington,98357-0115,No,(360) 645-2201,(360) 645-2788,nate.tyler@makah.com,http://www.makah.com,181 Resort Drive,,Neah Bay,WA,98357,12/19/2016,12/28/2018,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.3681223,-124.6249602,1/9/2018 7:20
"Manchester Band of Pomo Indians of the Manchester Rancheria, California",Manchester,Manchester Rancheria,Tribe,,Jamie,,Cobarrubia,,,Chairperson,,Pacific,Central California Agency,P.O. Box 623,,Point Arena,CA,California,95468,No,(707) 882-2788,(707) 882-3417,manptarena@hughes.net,,24 Mamie Laiwa Drive,,Point Arena,CA,95468,4/11/2015,11/11/2017,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,38.908798,-123.6930726,2/23/2017 14:02
"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",Manzanita,Manzanita Reservation,Tribe,,Angela,,Santos,,,Acting Chairman,,Pacific,Pacific Regional Office,P.O. Box 1302,,Boulevard,CA,California,91905,No,(619) 766-4930,(619) 766-4957,ljbirdsinger@aol.com,,6 Old Mine Road,,Boulevard,CA,91905,,,Tribal,Actual election date TBD. 04/15/2015: Angela S,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,32.6636254,-116.2738148,4/10/2018 10:49
Mashantucket Pequot Indian Tribe,Mashantucket Pequot,,Tribe,,Rodney,A.,Butler,,,Chairman,,Eastern,Eastern Regional Office,2 Matts Path,P.O. Box 3060,Mashantucket,CT,Connecticut,06338-3060,No,(860) 396-6572,(860) 396-6288,RodneyButler@mptn.org,http://www.mptn-nsn.gov,2 Matt's Path,,Mashantucket,CT,06338-3060,1/1/2016,1/1/2019,Tribal,Must use both address when mailing.,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,41.456141,-71.9699035,2/23/2017 14:02
Mashpee Wampanoag Tribe,Mashpee,,Tribe,,Cedric,,Cromwell,,,Chairman,,Eastern,Eastern Regional Office,483 Great Neck Road South,,Mashpee,MA,Massachusetts,02649,No,(508) 477-0208,(508) 539-1249,ccromwell@mwtribe.com,http://www.mashpeewampanoagtribe.com,SAME,,,,,2/1/2017,2/1/2021,Tribal,,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,41.5954936,-70.4808847,6/19/2017 11:33
Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,Match-e-be-nash-she-wish Band,Gun Lake ,Tribe,,Scott,,Sprague,,,Chairperson ,,Midwest,Michigan Agency,2872 Mission Drive,,Shelbyville,MI,Michigan,49344,No,(269) 397-1780,(269) 397-1781,Scott.Sprague@glt-nsn.gov,http://www.mbpi.org,2872 Mission Drive,,Shelbyville,MI,49344,8/26/2014,8/1/2018,Tribal,"On September 9, after swearing in two newly elected Council members from the 2016 General Election, the Tribal Council selected Scott Sprague to serve as Chairperson.",,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,42.5941998,-85.6372413,2/23/2017 14:02
"Mechoopda Indian Tribe of Chico Rancheria, California",Mechoopda,Chico Rancheria,Tribe,,Dennis,,Ramirez,,,Chairman,,Pacific,Central California Agency,125 Mission Ranch Boulevard,,Chico,CA,California,95926,No,(530) 899-8922,(530) 899-8517,mit@mechoopda@nsn.us,http://www.mechoopda-nsn.gov/,SAME,,,,,11/8/2015,,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.7530638,-121.8606691,2/23/2017 14:02
Menominee Indian Tribe of Wisconsin,Menominee,,Tribe,,Douglas,G.,Cox,,,Chairman,,Midwest,Midwest Regional Office,P.O. Box 910,,Keshena,WI,Wisconsin,54135-0910,No,(715) 799-5100,(715) 799-3373,dcox@mitw.org,http://www.menominee-nsn.gov,W2908 Tribal Office Loop,,Keshena,WI,54135,2/9/2017,2/9/2018,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,44.8838712,-88.6337152,3/14/2018 6:11
"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",Mesa Grande,Mesa Grande Reservation,Tribe,,Judy,,Oyos,,,Chairman,,Pacific,Southern California Agency,P.O. Box 270,,Santa Ysabel,CA,California,92070,No,(760) 782-3818,(760) 782-0795,mesagrandeband@msn.com,,26000 Mesa Grande Road,,Santa Ysabel,CA,92070,12/30/2017,,Tribal,,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.1091684,-116.673794,2/14/2018 12:33
"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",Mescalero,,Tribe,,Danny,H.,Breuninger,Sr.,,President,,Southwest,Mescalero Agency,P.O. Box 227,,Mescalero,NM,New Mexico,88340,No,(575) 464-4494,(575) 464-9191,,,101 Central Avenue,,Mescalero,NM,88340,,,Tribal,,,New Mexico,Upper Colorado,Region 2 - Southwest,,Intermountain,Southwest,33.1575854,-105.7741541,4/10/2018 12:17
Miami Tribe of Oklahoma,Miami of Oklahoma,,Tribe,,Douglas,G.,Lankford,,,Chief,,Eastern Oklahoma,Miami Agency,P.O. Box 1326,,Miami,OK,Oklahoma,74355,No,(918) 541-1300,(918) 542-7260,dlankford@miamination.com,http://www.miamination.com,202 South Eight Tribes Trail,,Miami,OK,74354,6/4/2016,6/4/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.8752027,-94.8763283,2/23/2017 14:02
Miccosukee Tribe of Indians,Miccosukee,,Tribe,,Billy,,Cypress,,,Chairman ,,Eastern,Eastern Regional Office,Tamiami Station,P.O. Box 440021,Miami,FL,Florida,33144,No,(305) 223-8380,(305) 223-1011,hopel@miccosukeetribe.com,http://www.miccosukeeresort.com/tribe,U.S. 41 Mile Marker 70 Tamiami Trail,,Miami,FL,33194,3/6/2016,11/1/2017,Tribal,,,Eastern States,,Region 4 - Southeast,Peninsular Florida,Southeast,Southeast,25.7621935,-80.3129541,2/23/2017 14:02
Middletown Rancheria of Pomo Indians of California,Middletown,Middletown Rancheria,Tribe,,Jose,,Simon,III,,Chairman,,Pacific,Central California Agency,P.O.Box 1035,,Middletown,CA,California,95461,No,(707) 987-3670,(707) 987-9091,dhummel@middletownrancheria.com,,22223 Hwy 29 @ Rancheria Road,,Middletown,CA,95461,6/8/2015,6/8/2018,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.7524045,-122.6149853,2/23/2017 14:02
Minnesota Chippewa Tribe,Minnesota Chippewa,,Tribe,,Kevin,R.,Dupuis,Sr.,,President,,Midwest,Minnesota Agency,P.O. Box 217,,Cass Lake,MN,Minnesota,56633,No,(218) 335-8581,(218) 335-8496,gfrazer@mnchippewatribe.org,http://www.mnchippewatribe.org,15542 State 371 NW,,Cass Lake,MN,56633,7/27/2012,7/27/2014,Tribal,"Elected from the 12 TEC members, comprised of the",,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,47.3793942,-94.6043207,2/23/2017 14:02
Minnesota Chippewa Tribe - Bois Forte Band (Nett Lake),Bois Forte,,Band,,Catherine ,J.,Chavers,,,Chairman,,Midwest,Minnesota Agency,5344 Lakeshore Drive,,Nett Lake,MN,Minnesota,55772,No,(218) 757-3261,(218) 757-3607,Catherine.Chavers@boisforte-nsn.gov,http://www.boisforte.com,5344 Lakeshore Drive,,Nett Lake,MN,55772,4/5/2016,6/30/2020,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,48.1147549,-93.0971316,5/1/2017 9:19
Minnesota Chippewa Tribe - Fond du Lac Band,Fond du Lac,,Band,,Kevin,R.,Dupuis,Sr.,,Chairman,,Midwest,Minnesota Agency,1720 Big Lake Road,,Cloquet,MN,Minnesota,55720,No,(218) 879-4593,(218) 879-4146,kevindupuis@fdlrez.com,http://www.fdlrez.com,Fond du Lac Center,1720 Big Lake Road,Cloquet,MN,55720,6/14/2016,6/12/2018,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,46.7134606,-92.5160505,6/19/2017 11:33
Minnesota Chippewa Tribe - Grand Portage Band,Grand Portage,,Band,,Norman,,DesChampe,,,Chairman,,Midwest,Minnesota Agency,P.O. Box 428,,Grand Portage,MN,Minnesota,55605,No,(218) 475-2277,(218) 475-2284,norman@grandportage.com,http://www.grandportage.com,83 Steven Road,,Grand Portage,MN,55605,7/1/2012,6/30/2016,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,47.963776,-89.6848121,2/23/2017 14:02
Minnesota Chippewa Tribe - Leech Lake Band,Leech Lake,,Band,,Faron,,Jackson,Sr.,,Chairman,,Midwest,Minnesota Agency,190 Sailstar Drive,,Cass Lake,MN,Minnesota,56633,No,(218) 335-8200,(218) 335-3611,Faron.Jackson@llojibwe.org,http://www.llojibwe.com,SAME,,,,,6/30/2016,6/30/2018,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,47.3839789,-94.60106,9/29/2017 6:25
Minnesota Chippewa Tribe - Mille Lacs Band,Mille Lacs,,Band,,Melanie,,Benjamin,,,Chief Executive,,Midwest,Minnesota Agency,43408 Oodena Drive,,Onamia,MN,Minnesota,56359,No,(320) 532-4181,(320) 532-5800,melanie.benjamin@millelacsband.com,http://www.millelacsband.com,SAME,,,,,6/30/2016,6/30/2018,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,46.1779922,-93.7552608,2/23/2017 14:02
Minnesota Chippewa Tribe - White Earth Band,White Earth,,Band,,Terrence,,Tibbetts,,Terry,Chairman,,Midwest,Minnesota Agency,P.O. Box 418,,White Earth,MN,Minnesota,56591,No,(218) 983-3285,(218) 983-3641,terrence.tibbetts@whiteearth-nsn.gov; desirae.stalberger@whiteearth-nsn.gov,http://www.whiteearth.com,5500 Eagle View Road,,White Earth,MN,56591,6/23/2016,6/14/2018,Tribal,4/5/2016=Primary election date; 6/14/2016=General election date,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,47.099186,-95.839551,9/13/2017 8:25
Mississippi Band of Choctaw Indians,Mississippi Choctaw,,Tribe,,Phyliss,J.,Anderson,,,Chief,,Eastern,Choctaw Agency,P.O. Box 6010,Choctaw Branch,Choctaw,MS,Mississippi,39350,No,(601) 656-5251,(601) 650-1606,info@choctaw.org,http://www.choctaw.org,101 Industrial Road,,Choctaw,MS,39350,10/1/2015,6/1/2019,Tribal,,,Eastern States,,Region 4 - Southeast,,Southeast,Southeast,32.7734342,-89.2127328,2/23/2017 14:02
"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",Moapa,,Tribe,,Robert,,Tom,,,Chairman,,Western,Southern Paiute Agency,P.O. Box 340,,Moapa,NV,Nevada,89025-0340,No,(702) 865-2787,(702) 865-2875,,http://www.moapapaiutes.com/tribal_directory.htm,,,,,,,,Tribal,,,Nevada,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,36.682194,-114.594155,2/23/2017 14:03
Mohegan Tribe of Indians of Connecticut,Mohegan,,Tribe,,Kevin,P.,Brown,,,Chairman,,Eastern,Eastern Regional Office,13 Crow Hill Road,,Uncasville,CT,Connecticut,06382,No,(860) 862-6100,(860) 862-6153,kbrown@moheganmail.com,http://www.mohegan.nsn.us/,SAME,,,,,10/1/2013,10/1/2017,Tribal,,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,41.4915477,-72.0966292,2/23/2017 14:02
Mooretown Rancheria of Maidu Indians of California,Mooretown,Mooretown Rancheria,Tribe,,Benjamin,,Clark,,,Chairman,,Pacific,Central California Agency,1 Alverda Drive,,Oroville,CA,California,95966,No,(530) 533-3625,(530) 533-3680,lwinner@mooretown.org,http://mooretownrancheria.org,SAME,,,,,12/3/2016,3/1/2020,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.4662682,-121.521937,2/23/2017 14:02
"Morongo Band of Mission Indians, California",Morongo,Monrongo Band of Cahuilla Mission Indians of the Morongo Reservation,Tribe,,Robert,,Martin,,,Chairman,,Pacific,Pacific Regional Office,12700 Pumarra Road,,Banning,CA,California,92220,No,(951) 849-4697,(951) 849-4425,,http://www.morongonation.org,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.9398629,-116.8102138,2/23/2017 14:02
Muckleshoot Indian Tribe,Muckleshoot,,Tribe,,Virginia,,Cross,,,Chairperson,,Northwest,Puget Sound Agency,39015 172nd Avenue SE,,Auburn,WA,Washington,98092-9763,No,(253) 939-3311,(253) 939-5311,virginia.cross@muckleshoot.nsn.us,http://www.muckleshoot.nsn.us,SAME,,,,,4/15/2015,1/21/2019,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.251716,-122.1152204,3/29/2018 8:09
Narragansett Indian Tribe,Narragansett,,Tribe,,Tribal Leader,,,,,Chief Sachem,,Eastern,Eastern Regional Office,P.O. Box 268,,Charlestown,RI,Rhode Island,02813,No,(401) 364-1100,(401) 364-1104,adstanton@nitribe.org,http://narragansettindiannation.org/,4533 South County Trail,,Charlestown,RI,02813,1/1/2015,10/1/2017,Tribal,,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,41.3909455,-71.6792008,6/6/2017 6:34
"Navajo Nation, Arizona, New Mexico & Utah",Navajo,,Tribe,,Russell,Steven,Begaye,,,President,,Navajo,Navajo Regional Office,P.O. Box 7440,,Window Rock,AZ,Arizona,86515,No,(928) 871-7000,(928) 871-4025,,http://www.navajo-nsn.gov,Navajo Tribal Hill Drive,Office of the President,Window Rock,AZ,86515,4/21/2015,,Tribal,,,Arizona,Upper/Lower Colorado,Region 2 - Southwest,Southern Rockies,Intermountain,Southwest,35.680573,-109.0525929,2/23/2017 14:02
Nez Perce Tribe,Nez Perce,Nez Perce Tribe of Idaho,Tribe,,Shannon,F.,Wheeler,,,Chairman,,Northwest,Northern Idaho Agency,P.O. Box 305,,Lapwai,ID,Idaho,83540-0305,No,(208) 843-2253,(208) 843-7354,nptec@nezperce.org,http://www.nezperce.org,100 Agency Road,,Lapwai,ID,83540,5/5/2018,5/4/2019,Tribal,,,Idaho,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,46.4048865,-116.8048733,5/16/2018 8:13
Nisqually Indian Tribe,Nisqually,,Tribe,,Ellory (Ken),,Choke,,,Chairman,,Northwest,Puget Sound Agency,4820 She-Nah-Num Drive SE,,Olympia,WA,Washington,98513-9199,No,(360) 456-5221,(360) 486-9553,choke.ken@nisqually-nsn.gov,http://www.nisqually-nsn.gov,SAME,,,,,5/5/2018,5/4/2019,Tribal,,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,47.003706,-122.670328,5/16/2018 14:31
Nooksack Indian Tribe,Nooksack,,Tribe,,Roswell (Ross),,Cline,Sr.,,Chairman,,Northwest,Puget Sound Agency,P.O. Box 157,,Deming,WA,Washington,98244-0157,No,(360) 592-5176,(360) 592-2125,,http://www.nooksacktribe.org,5016 Deming Road,,Deming,WA,98244,5/5/2018,3/15/2019,Tribal,Next election date approximate.,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,48.8291901,-121.9872341,5/16/2018 8:13
"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne,,Tribe,,Lawrence ,,Killsback,,Jace,President,,Rocky Mountain,Northern Cheyenne Agency,P.O. Box 128,,Lame Deer,MT,Montana,59043,No,(406) 477-6284,(406) 477-6210,,http://www.cheyennenation.com,600 Cheyenne Avenue South,,Lame Deer,MT,59043,10/8/2013,11/8/2016,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Intermountain,Northwest,45.6230476,-106.6666984,4/10/2018 12:16
Northfork Rancheria of Mono Indians of California,Northfork,Northfork Rancheria,Tribe,,Gary,,Walker,,,Chairman,,Pacific,Pacific Regional Office,P.O. Box 929,,North Fork,CA,California,93643-0929,No,(559) 877-2461,(559) 877-2467,nfrancheria@northforkrancheria-nsn.gov,http://www.northforkrancheria.com,33143 Road 222,,North Fork,CA,93643,11/27/2012,11/27/2016,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,37.2293765,-119.5093812,3/6/2017 8:39
Northwestern Band of Shoshone Nation,Northwestern Shoshone,,Tribe,,Darren,,Perry,,,Chairman,,Northwest,Fort Hall Agency,707 North Main Street,,Brigham City,UT,Utah,84302-1449,No,(435) 734-2286,(435) 734-0424,s2eagles@yahoo.com,http://www.nwbshoshone.com,SAME,,,,,6/10/2017,,Tribal,,,Utah,Upper Colorado,Region 6 - Mountain-Prairie,,Intermountain,Southwest,41.525162,-112.015839,8/31/2017 16:23
"Nottawaseppi Huron Band of the Potawatomi, MI",Nottawaseppi Potawatomi ,"Huron Potawatomi, Inc.",Tribe,,Jamie,,Stuck,,,Chairperson,,Midwest,Michigan Agency,1485 Mno-Bmadzewen Way,,Fulton,MI,Michigan,49052,No,(269) 729-5151,(269) 729-5920,jstuck@nhbpi.com,http://www.nhbpi.com,SAME,,,,,4/30/2016,4/1/2020,Tribal,The Amended and Restated Tribal Constituion approved 4-27-2013.,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,42.1052228,-85.2612631,11/27/2017 15:40
Oglala Sioux Tribe,Oglala Sioux,,Tribe,,Scitt,,Weston,,,President,,Great Plains,Pine Ridge Agency,P.O. Box 2070,,Pine Ridge,SD,South Dakota,57770,No,(605) 867-5821,(605) 867-6076,,http://www.oglalalakotanation.org,Highway 18 Main Street,,Pine Ridge,SD,57770,11/4/2014,11/8/2016,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Midwest,Midwest,43.022499,-102.5111079,2/23/2017 14:02
"Ohkay Owingeh, New Mexico",Ohkay,Pueblo of San Juan,Tribe,,Peter,,"Garcia, Jr.",,,Governor,,Southwest,Northern Pueblos Agency,P.O. Box 1099,,Ohkay Owingeh,NM,New Mexico,87566,No,(505) 852-4400,(505) 852-4820,governor@ohkayowingeh-nsn.gov,,220 Poepay Avenue,,Ohkay Owingeh,NM,87566,,,Tribal,,,New Mexico,Upper Colorado,Region 2 - Southwest,,Intermountain,Southwest,36.1063786,-106.0757749,4/10/2018 13:25
Omaha Tribe of Nebraska,Omaha,,Tribe,,Michael,,Wolfe,,,Chairman,,Great Plains,Winnebago Agency,P.O. Box 368,,Macy,NE,Nebraska,68039,No,(402) 837-5391,(402) 837-5308,,http://www.omaha-nsn.gov,100 Main Street,,Macy,NE,68039,11/4/2014,11/3/2015,Tribal,,,Wyoming,Great Plains,Region 6 - Mountain-Prairie,Eastern Tallgrass Prairie and Big Rivers,Midwest,Midwest,42.1202708,-96.3438785,2/23/2017 14:02
Oneida Indian Nation,Oneida  Nation of New York,,Tribe,,Ray,,Halbritter,,,Nation Representative,,Eastern,Eastern Regional Office,5218 Patrick Road,,Verona,NY,New York,13421,No,(315) 829-8900,(315) 361-7619,info@oneida-nation.org,http://www.oneidaindiannation.com,SAME,,,,,,,Tribal,No election - Appointed Lifetime/ Name change August 2017,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,43.115301,-75.5888479,4/10/2018 13:25
Oneida Nation,Oneida Nation (Wisconsin),,Tribe,,Tehassi,,Hill,,,Chairman,,Midwest,Great Lakes Agency,P.O. Box 365,,Oneida,WI,Wisconsin,54155-0365,No,(800) 236-2214,(920) 869-4040,thill7@oneidanation.org,http://www.oneidanation.org,2514 West Mason Street,,Green Bay,WI,54303,7/26/2017,7/25/2020,Tribal,Chairman's Assistant - dwilson1@oneidanation.org,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,44.5176348,-88.2266434,3/14/2018 6:37
Onondaga Nation,Onondaga,,Tribe,,Sidney,,Hill,,,Chief,,Eastern,Eastern Regional Office,P.O. Box 319-B,,Nedrow,NY,New York,13120,No,(315) 492-1922,(315) 469-4717,admin@onondaganation.org,http://www.onondaganation.org,102 W. Conklin Avenue,,Nedrow,NY,13120,12/1/2017,,Tribal,No elections - Appointed Lifetime (new Chief Appointed 12/1/2017) due to passing of old Chief,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,42.9750662,-76.1413132,12/12/2017 11:40
"Otoe-Missouria Tribe of Indians, Oklahoma",Otoe-Missouria,,Tribe,,John,R.,Shotton,,,Chairman,,Southern Plains,Pawnee Agency,8151 Highway 177,,Red Rock,OK,Oklahoma,74651-0348,No,(580) 723-4466,(580) 723-4273,jshotton@omtribe.org,http://www.omtribe.org,SAME,,,,,11/5/2016,11/2/2019,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,36.4913525,-97.0748296,2/23/2017 14:02
Ottawa Tribe of Oklahoma,Ottawa of Oklahoma,,Tribe,,Ethel,E.,Cook,,,Chief,,Eastern Oklahoma,Miami Agency,P.O. Box 110,,Miami,OK,Oklahoma,74355,No,(918) 540-1536,(918) 542-3214,cethel@cableone.net,http://www.ottawatribe.org,13 South Highway 69A,,Miami,OK,74354,5/6/2017,5/2/2020,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,Eastern Tallgrass Prairie and Big Rivers,Intermountain,Southwest,36.8752027,-94.8763283,6/1/2017 6:51
"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",Paiute of Utah,,Tribe,,Tamra,,Borchardt-Slayton,,,Chairperson,,Western,Southern Paiute Agency,440 N. Paiute Drive,,Cedar City,UT,Utah,84720-2613,No,(435) 586-1112,(435) 867-2659,,http://www.utahpaiutes.org/about/government/,SAME,,,,,,,Tribal,,,Utah,Upper Colorado,Region 6 - Mountain-Prairie,Southern Rockies,Intermountain,Southwest,37.6850231,-113.0578039,7/27/2017 16:59
"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Paiute-Shoshone,,Tribe,,Len,,George,,,Chairman,,Western,Western Nevada Agency,565 Rio Vista Road,,Fallon,NV,Nevada,89406-9159,No,(775) 423-6075,(775) 423-5202,Chairman@fpst.org,,SAME,,,,,10/6/2012,10/1/2016,Tribal,,,Nevada,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,39.4820325,-118.7569624,2/23/2017 14:03
Pala Band of Mission Indians,Pala,,Tribe,,Robert,,Smith,,,Chairman,,Pacific,Southern California Agency,35008 Pala-Temecula Road,PMB - 50,Pala,CA,California,92059,No,(760) 591-0926,(760) 742-1293,,http://www.palatribe.com,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.3652166,-117.0764739,2/23/2017 14:02
Pamunkey Indian Tribe,Pamunkey Indian Tribe,,Tribe,,Robert,,Gray,,,Chief,,Eastern,Eastern Regional Office,1054 Pocahontas Trail,,King William,VA,Virginia,23086,No,804-339-1629,,,http://www.pamunkey.net,Same,,,,,7/1/2015,11/1/2016,,Newly recognized Tribe effective 1/28/2016,,Eastern States,,Region 5 - Northeast,,Northeast,Northeast,37.5748058,-77.0014654,2/12/2018 8:03
